date,price,type,bedrooms
3/17/2012,515000,house,4
3/17/2012,580000,house,4
3/17/2012,1015000,house,4
3/18/2012,370000,house,3
3/18/2012,400000,house,3
3/18/2012,400100,house,3
3/18/2012,475000,house,4
3/18/2012,485000,house,3
3/18/2012,645000,house,4
3/18/2012,670000,house,4
3/19/2012,370000,house,3
3/19/2012,372000,house,4
3/19/2012,374000,house,3
3/19/2012,375000,house,3
3/19/2012,393000,house,4
3/19/2012,395000,house,3
3/19/2012,395000,house,3
3/19/2012,430000,house,3
3/19/2012,430000,house,3
3/19/2012,485000,house,3
3/20/2012,370000,house,3
3/20/2012,415000,house,3
3/20/2012,470000,house,4
3/20/2012,575000,house,5
3/20/2012,595000,house,3
3/20/2012,825000,house,5
3/22/2012,438000,house,4
3/23/2012,360000,house,3
3/23/2012,409588,house,4
3/23/2012,422000,house,4
3/23/2012,423000,house,3
3/23/2012,465000,house,4
